
PASS: 995513; IN: 0.920682; expRES: 0.796015; netOUT: 0.796391

PASS: 995514; IN: 0.971709; expRES: 0.825851; netOUT: 0.823808

PASS: 995515; IN: 0.230445; expRES: 0.228411; netOUT: 0.231563

PASS: 995516; IN: 0.132115; expRES: 0.131731; netOUT: 0.128546

PASS: 995517; IN: 0.152623; expRES: 0.152031; netOUT: 0.15092

PASS: 995518; IN: 0.136845; expRES: 0.136418; netOUT: 0.134469

PASS: 995519; IN: 0.880459; expRES: 0.771031; netOUT: 0.773826

PASS: 995520; IN: 0.56035; expRES: 0.531483; netOUT: 0.530477

PASS: 995521; IN: 0.289987; expRES: 0.28594; netOUT: 0.28906

PASS: 995522; IN: 0.78872; expRES: 0.709452; netOUT: 0.710297

PASS: 995523; IN: 0.742851; expRES: 0.676391; netOUT: 0.676163

PASS: 995524; IN: 0.490127; expRES: 0.470738; netOUT: 0.467533

PASS: 995525; IN: 0.037843; expRES: 0.0378339; netOUT: 0.040513

PASS: 995526; IN: 0.66982; expRES: 0.620845; netOUT: 0.622461

PASS: 995527; IN: 0.51616; expRES: 0.493544; netOUT: 0.491583

PASS: 995528; IN: 0.546892; expRES: 0.520035; netOUT: 0.520233

PASS: 995529; IN: 0.856288; expRES: 0.755416; netOUT: 0.757827

PASS: 995530; IN: 0.890957; expRES: 0.777674; netOUT: 0.777695

PASS: 995531; IN: 0.896176; expRES: 0.780944; netOUT: 0.780814

PASS: 995532; IN: 0.0600604; expRES: 0.0600243; netOUT: 0.0577173

PASS: 995533; IN: 0.00756859; expRES: 0.00756852; netOUT: 0.0221535

PASS: 995534; IN: 0.413404; expRES: 0.401729; netOUT: 0.400085

PASS: 995535; IN: 0.253059; expRES: 0.250367; netOUT: 0.252999

PASS: 995536; IN: 0.655782; expRES: 0.609779; netOUT: 0.608598

PASS: 995537; IN: 0.90286; expRES: 0.785101; netOUT: 0.785258

PASS: 995538; IN: 0.635426; expRES: 0.59352; netOUT: 0.593035

PASS: 995539; IN: 0.998413; expRES: 0.840612; netOUT: 0.836869

PASS: 995540; IN: 0.781549; expRES: 0.704379; netOUT: 0.708573

PASS: 995541; IN: 0.653249; expRES: 0.607769; netOUT: 0.606685

PASS: 995542; IN: 0.362621; expRES: 0.354726; netOUT: 0.354945

PASS: 995543; IN: 0.797571; expRES: 0.715661; netOUT: 0.717232

PASS: 995544; IN: 0.693564; expRES: 0.639282; netOUT: 0.638439

PASS: 995545; IN: 0.232704; expRES: 0.230609; netOUT: 0.231934

PASS: 995546; IN: 0.945189; expRES: 0.810607; netOUT: 0.808229

PASS: 995547; IN: 0.28431; expRES: 0.280496; netOUT: 0.282193

PASS: 995548; IN: 0.938444; expRES: 0.80664; netOUT: 0.80498

PASS: 995549; IN: 0.1583; expRES: 0.157639; netOUT: 0.155915

PASS: 995550; IN: 0.86169; expRES: 0.758944; netOUT: 0.760935

PASS: 995551; IN: 0.433363; expRES: 0.419925; netOUT: 0.417781

PASS: 995552; IN: 0.859951; expRES: 0.75781; netOUT: 0.760062

PASS: 995553; IN: 0.0943022; expRES: 0.0941625; netOUT: 0.089361

PASS: 995554; IN: 0.531938; expRES: 0.507204; netOUT: 0.506264

PASS: 995555; IN: 0.247597; expRES: 0.245075; netOUT: 0.248385

PASS: 995556; IN: 0.162877; expRES: 0.162158; netOUT: 0.160818

PASS: 995557; IN: 0.286416; expRES: 0.282516; netOUT: 0.284414

PASS: 995558; IN: 0.639241; expRES: 0.596586; netOUT: 0.594898

PASS: 995559; IN: 0.915922; expRES: 0.793124; netOUT: 0.793185

PASS: 995560; IN: 0.0643025; expRES: 0.0642582; netOUT: 0.0613129

PASS: 995561; IN: 0.232276; expRES: 0.230193; netOUT: 0.232573

PASS: 995562; IN: 0.743828; expRES: 0.67711; netOUT: 0.677872

PASS: 995563; IN: 0.0979034; expRES: 0.0977471; netOUT: 0.0927474

PASS: 995564; IN: 0.0643025; expRES: 0.0642582; netOUT: 0.0614307

PASS: 995565; IN: 0.494644; expRES: 0.474718; netOUT: 0.473519

PASS: 995566; IN: 0.46849; expRES: 0.451539; netOUT: 0.451669

PASS: 995567; IN: 0.492019; expRES: 0.472407; netOUT: 0.472289

PASS: 995568; IN: 0.86697; expRES: 0.762371; netOUT: 0.76466

PASS: 995569; IN: 0.0632649; expRES: 0.0632227; netOUT: 0.0606358

PASS: 995570; IN: 0.0378735; expRES: 0.0378644; netOUT: 0.0405202

PASS: 995571; IN: 0.342875; expRES: 0.336197; netOUT: 0.337202

PASS: 995572; IN: 0.483077; expRES: 0.464507; netOUT: 0.462063

PASS: 995573; IN: 0.17188; expRES: 0.171035; netOUT: 0.171764

PASS: 995574; IN: 0.452345; expRES: 0.437076; netOUT: 0.436932

PASS: 995575; IN: 0.0444044; expRES: 0.0443898; netOUT: 0.0454136

PASS: 995576; IN: 0.0456557; expRES: 0.0456398; netOUT: 0.0463314

PASS: 995577; IN: 0.976714; expRES: 0.828663; netOUT: 0.826415

PASS: 995578; IN: 0.0779138; expRES: 0.0778349; netOUT: 0.0744666

PASS: 995579; IN: 0.495102; expRES: 0.475121; netOUT: 0.476797

PASS: 995580; IN: 0.36964; expRES: 0.36128; netOUT: 0.363016

PASS: 995581; IN: 0.00207526; expRES: 0.00207526; netOUT: 0.0196104

PASS: 995582; IN: 0.933592; expRES: 0.803762; netOUT: 0.802324

PASS: 995583; IN: 0.361126; expRES: 0.353327; netOUT: 0.353608

PASS: 995584; IN: 0.786981; expRES: 0.708225; netOUT: 0.7099

PASS: 995585; IN: 0.760552; expRES: 0.689321; netOUT: 0.689429

PASS: 995586; IN: 0.456984; expRES: 0.441244; netOUT: 0.438008

PASS: 995587; IN: 0.904233; expRES: 0.785951; netOUT: 0.787173

PASS: 995588; IN: 0.288278; expRES: 0.284302; netOUT: 0.286583

PASS: 995589; IN: 0.452437; expRES: 0.437159; netOUT: 0.43447

PASS: 995590; IN: 0.0299997; expRES: 0.0299952; netOUT: 0.0349987

PASS: 995591; IN: 0.530168; expRES: 0.505678; netOUT: 0.504815

PASS: 995592; IN: 0.50264; expRES: 0.481741; netOUT: 0.481677

PASS: 995593; IN: 0.152135; expRES: 0.151549; netOUT: 0.150552

PASS: 995594; IN: 0.0451674; expRES: 0.045152; netOUT: 0.045873

PASS: 995595; IN: 0.714042; expRES: 0.654893; netOUT: 0.657949

PASS: 995596; IN: 0.546129; expRES: 0.519383; netOUT: 0.51698

PASS: 995597; IN: 0.386822; expRES: 0.377247; netOUT: 0.37847

PASS: 995598; IN: 0.79458; expRES: 0.713569; netOUT: 0.715695

PASS: 995599; IN: 0.458998; expRES: 0.44305; netOUT: 0.440242

PASS: 995600; IN: 0.271096; expRES: 0.267787; netOUT: 0.270958

PASS: 995601; IN: 0.513962; expRES: 0.491631; netOUT: 0.488927

PASS: 995602; IN: 0.962157; expRES: 0.820427; netOUT: 0.819467

PASS: 995603; IN: 0.944304; expRES: 0.810089; netOUT: 0.810453

PASS: 995604; IN: 0.946959; expRES: 0.811643; netOUT: 0.811696

PASS: 995605; IN: 0.80398; expRES: 0.720123; netOUT: 0.723634

PASS: 995606; IN: 0.000640889; expRES: 0.000640889; netOUT: 0.0188

PASS: 995607; IN: 0.519059; expRES: 0.496063; netOUT: 0.492335

PASS: 995608; IN: 0.903806; expRES: 0.785687; netOUT: 0.787101

PASS: 995609; IN: 0.634297; expRES: 0.592611; netOUT: 0.592953

PASS: 995610; IN: 0.174871; expRES: 0.173981; netOUT: 0.173837

PASS: 995611; IN: 0.697989; expRES: 0.642678; netOUT: 0.64382

PASS: 995612; IN: 0.170171; expRES: 0.169351; netOUT: 0.168433

PASS: 995613; IN: 0.700797; expRES: 0.644827; netOUT: 0.645348

PASS: 995614; IN: 0.551988; expRES: 0.524381; netOUT: 0.522158

PASS: 995615; IN: 0.315317; expRES: 0.310118; netOUT: 0.312892

PASS: 995616; IN: 0.636555; expRES: 0.594429; netOUT: 0.593382

PASS: 995617; IN: 0.653218; expRES: 0.607745; netOUT: 0.608052

PASS: 995618; IN: 0.720359; expRES: 0.659654; netOUT: 0.660749

PASS: 995619; IN: 0.49324; expRES: 0.473482; netOUT: 0.470786

PASS: 995620; IN: 0.774773; expRES: 0.699554; netOUT: 0.702592

PASS: 995621; IN: 0.0606403; expRES: 0.0606031; netOUT: 0.0578492

PASS: 995622; IN: 0.518113; expRES: 0.495241; netOUT: 0.493031

PASS: 995623; IN: 0.580828; expRES: 0.548717; netOUT: 0.549205

PASS: 995624; IN: 0.44612; expRES: 0.431468; netOUT: 0.431418

PASS: 995625; IN: 0.113224; expRES: 0.112982; netOUT: 0.109399

PASS: 995626; IN: 0.553056; expRES: 0.52529; netOUT: 0.52629

PASS: 995627; IN: 0.720328; expRES: 0.659632; netOUT: 0.661823

PASS: 995628; IN: 0.828059; expRES: 0.73662; netOUT: 0.737156

PASS: 995629; IN: 0.966613; expRES: 0.822966; netOUT: 0.819337

PASS: 995630; IN: 0.794275; expRES: 0.713356; netOUT: 0.715899

PASS: 995631; IN: 0.196173; expRES: 0.194917; netOUT: 0.195575

PASS: 995632; IN: 0.991516; expRES: 0.836857; netOUT: 0.831983

PASS: 995633; IN: 0.135044; expRES: 0.134634; netOUT: 0.132572

PASS: 995634; IN: 0.0177618; expRES: 0.0177608; netOUT: 0.0276196

PASS: 995635; IN: 0.223823; expRES: 0.221959; netOUT: 0.224856

PASS: 995636; IN: 0.159703; expRES: 0.159025; netOUT: 0.157623

PASS: 995637; IN: 0.839778; expRES: 0.744495; netOUT: 0.746344

PASS: 995638; IN: 0.386639; expRES: 0.377078; netOUT: 0.376012

PASS: 995639; IN: 0.334056; expRES: 0.327877; netOUT: 0.32898

PASS: 995640; IN: 0.180242; expRES: 0.179268; netOUT: 0.178815

PASS: 995641; IN: 0.718467; expRES: 0.658231; netOUT: 0.65856

PASS: 995642; IN: 0.947264; expRES: 0.811821; netOUT: 0.809507

PASS: 995643; IN: 0.00946074; expRES: 0.0094606; netOUT: 0.0229201

PASS: 995644; IN: 0.240699; expRES: 0.238382; netOUT: 0.239911

PASS: 995645; IN: 0.802545; expRES: 0.719127; netOUT: 0.719707

PASS: 995646; IN: 0.322642; expRES: 0.317073; netOUT: 0.316557

PASS: 995647; IN: 0.728874; expRES: 0.66603; netOUT: 0.665917

PASS: 995648; IN: 0.360118; expRES: 0.352385; netOUT: 0.351405

PASS: 995649; IN: 0.168065; expRES: 0.167275; netOUT: 0.166047

PASS: 995650; IN: 0.384716; expRES: 0.375296; netOUT: 0.375124

PASS: 995651; IN: 0.0763573; expRES: 0.0762831; netOUT: 0.0719916

PASS: 995652; IN: 0.687033; expRES: 0.634246; netOUT: 0.635993

PASS: 995653; IN: 0.166906; expRES: 0.166132; netOUT: 0.165122

PASS: 995654; IN: 0.185858; expRES: 0.18479; netOUT: 0.185181

PASS: 995655; IN: 0.0711081; expRES: 0.0710482; netOUT: 0.0672221

PASS: 995656; IN: 0.135228; expRES: 0.134816; netOUT: 0.132329

PASS: 995657; IN: 0.644032; expRES: 0.600425; netOUT: 0.601766

PASS: 995658; IN: 0.931761; expRES: 0.802671; netOUT: 0.801677

PASS: 995659; IN: 0.373913; expRES: 0.365261; netOUT: 0.366421

PASS: 995660; IN: 0.388836; expRES: 0.379112; netOUT: 0.378949

PASS: 995661; IN: 0.0476394; expRES: 0.0476214; netOUT: 0.0475105

PASS: 995662; IN: 0.276345; expRES: 0.272841; netOUT: 0.275191

PASS: 995663; IN: 0.527085; expRES: 0.503016; netOUT: 0.499711

PASS: 995664; IN: 0.807672; expRES: 0.72268; netOUT: 0.725647

PASS: 995665; IN: 0.837916; expRES: 0.743251; netOUT: 0.743695

PASS: 995666; IN: 0.720664; expRES: 0.659884; netOUT: 0.659606

PASS: 995667; IN: 0.883847; expRES: 0.773184; netOUT: 0.772768

PASS: 995668; IN: 0.264199; expRES: 0.261136; netOUT: 0.263019

PASS: 995669; IN: 0.100772; expRES: 0.100602; netOUT: 0.0955405

PASS: 995670; IN: 0.395764; expRES: 0.385513; netOUT: 0.384856

PASS: 995671; IN: 0.383251; expRES: 0.373938; netOUT: 0.374147

PASS: 995672; IN: 0.443678; expRES: 0.429264; netOUT: 0.428082

PASS: 995673; IN: 0.7734; expRES: 0.698572; netOUT: 0.700828

PASS: 995674; IN: 0.012421; expRES: 0.0124207; netOUT: 0.0244806

PASS: 995675; IN: 0.827265; expRES: 0.736083; netOUT: 0.735687

PASS: 995676; IN: 0.63805; expRES: 0.595631; netOUT: 0.593673

PASS: 995677; IN: 0.38667; expRES: 0.377106; netOUT: 0.377451

PASS: 995678; IN: 0.257485; expRES: 0.254649; netOUT: 0.257076

PASS: 995679; IN: 0.815851; expRES: 0.728309; netOUT: 0.728344

PASS: 995680; IN: 0.565355; expRES: 0.535716; netOUT: 0.532651

PASS: 995681; IN: 0.732109; expRES: 0.668439; netOUT: 0.670929

PASS: 995682; IN: 0.419141; expRES: 0.406976; netOUT: 0.405382

PASS: 995683; IN: 0.996704; expRES: 0.839686; netOUT: 0.835817

PASS: 995684; IN: 0.24601; expRES: 0.243536; netOUT: 0.247741

PASS: 995685; IN: 0.358379; expRES: 0.350757; netOUT: 0.351192

PASS: 995686; IN: 0.521775; expRES: 0.49842; netOUT: 0.496449

PASS: 995687; IN: 0.785455; expRES: 0.707147; netOUT: 0.710391

PASS: 995688; IN: 0.46672; expRES: 0.449959; netOUT: 0.44729

PASS: 995689; IN: 0.304422; expRES: 0.299742; netOUT: 0.30258

PASS: 995690; IN: 0.751823; expRES: 0.682972; netOUT: 0.683697

PASS: 995691; IN: 0.213111; expRES: 0.211501; netOUT: 0.211922

