
PASS: 995513; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995514; IN: 1, 1; expOUT: 0; netOUT: 0.000731783

PASS: 995515; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995516; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995517; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995518; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995519; IN: 0, 0; expOUT: 0; netOUT: 0.000783156

PASS: 995520; IN: 1, 1; expOUT: 0; netOUT: 0.000731807

PASS: 995521; IN: 0, 0; expOUT: 0; netOUT: 0.00078314

PASS: 995522; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995523; IN: 1, 1; expOUT: 0; netOUT: 0.000731792

PASS: 995524; IN: 1, 1; expOUT: 0; netOUT: 0.000731769

PASS: 995525; IN: 0, 0; expOUT: 0; netOUT: 0.000783128

PASS: 995526; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995527; IN: 1, 1; expOUT: 0; netOUT: 0.000731754

PASS: 995528; IN: 0, 0; expOUT: 0; netOUT: 0.000783119

PASS: 995529; IN: 0, 0; expOUT: 0; netOUT: 0.000783108

PASS: 995530; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995531; IN: 1, 1; expOUT: 0; netOUT: 0.000731736

PASS: 995532; IN: 1, 1; expOUT: 0; netOUT: 0.000731712

PASS: 995533; IN: 1, 1; expOUT: 0; netOUT: 0.000731689

PASS: 995534; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995535; IN: 0, 0; expOUT: 0; netOUT: 0.000783099

PASS: 995536; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995537; IN: 0, 0; expOUT: 0; netOUT: 0.000783094

PASS: 995538; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995539; IN: 1, 1; expOUT: 0; netOUT: 0.000731696

PASS: 995540; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995541; IN: 1, 1; expOUT: 0; netOUT: 0.000731686

PASS: 995542; IN: 1, 1; expOUT: 0; netOUT: 0.000731662

PASS: 995543; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995544; IN: 0, 0; expOUT: 0; netOUT: 0.000783091

PASS: 995545; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995546; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995547; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995548; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995549; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995550; IN: 0, 0; expOUT: 0; netOUT: 0.000783114

PASS: 995551; IN: 1, 1; expOUT: 0; netOUT: 0.000731708

PASS: 995552; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995553; IN: 1, 1; expOUT: 0; netOUT: 0.000731698

PASS: 995554; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995555; IN: 1, 1; expOUT: 0; netOUT: 0.000731687

PASS: 995556; IN: 1, 1; expOUT: 0; netOUT: 0.000731664

PASS: 995557; IN: 1, 1; expOUT: 0; netOUT: 0.00073164

PASS: 995558; IN: 1, 1; expOUT: 0; netOUT: 0.000731617

PASS: 995559; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995560; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995561; IN: 0, 0; expOUT: 0; netOUT: 0.000783107

PASS: 995562; IN: 0, 0; expOUT: 0; netOUT: 0.000783095

PASS: 995563; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995564; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995565; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995566; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995567; IN: 0, 0; expOUT: 0; netOUT: 0.000783111

PASS: 995568; IN: 1, 1; expOUT: 0; netOUT: 0.000731659

PASS: 995569; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995570; IN: 1, 1; expOUT: 0; netOUT: 0.000731648

PASS: 995571; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995572; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995573; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995574; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995575; IN: 0, 0; expOUT: 0; netOUT: 0.000783126

PASS: 995576; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995577; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995578; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995579; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995580; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995581; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995582; IN: 1, 1; expOUT: 0; netOUT: 0.00073175

PASS: 995583; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995584; IN: 1, 1; expOUT: 0; netOUT: 0.00073174

PASS: 995585; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995586; IN: 1, 1; expOUT: 0; netOUT: 0.000731729

PASS: 995587; IN: 0, 0; expOUT: 0; netOUT: 0.000783158

PASS: 995588; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995589; IN: 1, 1; expOUT: 0; netOUT: 0.000731715

PASS: 995590; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995591; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995592; IN: 0, 0; expOUT: 0; netOUT: 0.000783163

PASS: 995593; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995594; IN: 1, 1; expOUT: 0; netOUT: 0.000731726

PASS: 995595; IN: 1, 1; expOUT: 0; netOUT: 0.000731703

PASS: 995596; IN: 1, 1; expOUT: 0; netOUT: 0.000731679

PASS: 995597; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995598; IN: 0, 0; expOUT: 0; netOUT: 0.000783153

PASS: 995599; IN: 0, 0; expOUT: 0; netOUT: 0.000783142

PASS: 995600; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995601; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995602; IN: 1, 1; expOUT: 0; netOUT: 0.000731686

PASS: 995603; IN: 0, 0; expOUT: 0; netOUT: 0.00078314

PASS: 995604; IN: 0, 0; expOUT: 0; netOUT: 0.000783129

PASS: 995605; IN: 0, 0; expOUT: 0; netOUT: 0.000783117

PASS: 995606; IN: 1, 1; expOUT: 0; netOUT: 0.00073165

PASS: 995607; IN: 0, 0; expOUT: 0; netOUT: 0.000783102

PASS: 995608; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995609; IN: 0, 0; expOUT: 0; netOUT: 0.000783097

PASS: 995610; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995611; IN: 1, 1; expOUT: 0; netOUT: 0.000731645

PASS: 995612; IN: 1, 1; expOUT: 0; netOUT: 0.000731621

PASS: 995613; IN: 0, 0; expOUT: 0; netOUT: 0.000783085

PASS: 995614; IN: 0, 0; expOUT: 0; netOUT: 0.000783074

PASS: 995615; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995616; IN: 0, 0; expOUT: 0; netOUT: 0.000783069

PASS: 995617; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995618; IN: 0, 0; expOUT: 0; netOUT: 0.000783065

PASS: 995619; IN: 1, 1; expOUT: 0; netOUT: 0.000731607

PASS: 995620; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995621; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995622; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995623; IN: 0, 1; expOUT: 1; netOUT: 0.999313

PASS: 995624; IN: 0, 0; expOUT: 0; netOUT: 0.000783077

PASS: 995625; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995626; IN: 1, 1; expOUT: 0; netOUT: 0.000731644

PASS: 995627; IN: 1, 1; expOUT: 0; netOUT: 0.000731621

PASS: 995628; IN: 1, 1; expOUT: 0; netOUT: 0.000731597

PASS: 995629; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995630; IN: 1, 1; expOUT: 0; netOUT: 0.000731587

PASS: 995631; IN: 1, 0; expOUT: 1; netOUT: 0.999309

